source,job_id,title,company,city,location_full,country,zip,salary_min,salary_max,salary_period,salary_currency,employment_type,date_posted,valid_through,tags,category,description,requirements,what_we_offer,contact_name,contact_email,url,direct_apply,remote
linkedin,4402604717,"Applied AI Junior Web Developer - Ottawa, ON",TrendAI,Ottawa,"Ottawa, Ontario, Canada",,,,,,,,2026-05-28,,software engineer english,,,,,,,https://ca.linkedin.com/jobs/view/applied-ai-junior-web-developer-ottawa-on-at-trendai-4402604717,False,False
linkedin,4402618616,"Applied AI Junior Web Developer - Ottawa, ON",TrendAI,Ottawa,"Ottawa, Ontario, Canada",,,,,,,,2026-05-29,,software engineer english,,,,,,,https://ca.linkedin.com/jobs/view/applied-ai-junior-web-developer-ottawa-on-at-trendai-4402618616,False,False
linkedin,4386819085,Software Engineer - Java,Veeva Systems,Ottawa,"Ottawa, Ontario, Canada",,,,,,,,2026-06-01,,software engineer english,,,,,,,https://ca.linkedin.com/jobs/view/software-engineer-java-at-veeva-systems-4386819085,False,False
linkedin,4419543008,Co-op Engineer - Real-Time Operating System (12-16 months),Huawei Canada,Ottawa,"Ottawa, Ontario, Canada",,,,,,,,2026-05-26,,software engineer english,,,,,,,https://ca.linkedin.com/jobs/view/co-op-engineer-real-time-operating-system-12-16-months-at-huawei-canada-4419543008,False,False
linkedin,4422029575,Programmeur Python – Données de laboratoire / Python Programmer – Laboratory Data,IQVIA,Ottawa,"Ottawa, Ontario, Canada",,,,,,,,2026-05-29,,software engineer english,,,,,,,https://ca.linkedin.com/jobs/view/programmeur-python-%E2%80%93-donn%C3%A9es-de-laboratoire-python-programmer-%E2%80%93-laboratory-data-at-iqvia-4422029575,False,False
linkedin,4381945274,Service Now Developer,KPMG Canada,Ottawa,"Ottawa, Ontario, Canada",,,,,,,,2026-05-31,,software engineer english,,,,,,,https://ca.linkedin.com/jobs/view/service-now-developer-at-kpmg-canada-4381945274,False,False
linkedin,4381946216,Service Now Developer,KPMG Canada,Kanata,"Kanata, Ontario, Canada",,,,,,,,2026-06-01,,software engineer english,,,,,,,https://ca.linkedin.com/jobs/view/service-now-developer-at-kpmg-canada-4381946216,False,False
linkedin,4409223523,Incubation Developer Coop/Intern,Nokia,Kanata,"Kanata, Ontario, Canada",,,,,,,,2026-05-28,,software engineer english,,,,,,,https://ca.linkedin.com/jobs/view/incubation-developer-coop-intern-at-nokia-4409223523,False,False
linkedin,4422082889,baseband AI technology-Co-op,Ericsson,Ottawa,"Ottawa, Ontario, Canada",,,,,,,,2026-05-30,,software engineer english,,,,,,,https://ca.linkedin.com/jobs/view/baseband-ai-technology-co-op-at-ericsson-4422082889,False,False
linkedin,4420407446,"Senior Software Developer, Information Technology",University of Ottawa,Ottawa,"Ottawa, Ontario, Canada",,,,,,,,2026-05-28,,software engineer english,,,,,,,https://ca.linkedin.com/jobs/view/senior-software-developer-information-technology-at-university-of-ottawa-4420407446,False,False
linkedin,4417616835,Research Engineer,Silicon Labs,Espoo,"Espoo, Uusimaa, Finland",,,,,,,,2026-05-28,,research engineer,,,,,,,https://fi.linkedin.com/jobs/view/research-engineer-at-silicon-labs-4417616835,False,False
linkedin,4423243014,R&D Engineer – Sensor & Signal Processing,Eddytec,Amsterdam,"Amsterdam, North Holland, Netherlands",,,,,,,,2026-06-01,,research engineer,,,,,,,https://nl.linkedin.com/jobs/view/r-d-engineer-%E2%80%93-sensor-signal-processing-at-eddytec-4423243014,False,False
linkedin,4418828836,"AI Research Engineer/Scientist (OpenVINO, NNCF)",Intel,Leixlip,"Leixlip, County Kildare, Ireland",,,,,,,,2026-05-27,,research engineer,,,,,,,https://ie.linkedin.com/jobs/view/ai-research-engineer-scientist-openvino-nncf-at-intel-4418828836,False,False
linkedin,4417458886,Research Engineer for Telemetry Algorithms (m/f/d),MED-EL,Innsbruck,"Innsbruck, Tyrol, Austria",,,,,,,,2026-06-01,,research engineer,,,,,,,https://at.linkedin.com/jobs/view/research-engineer-for-telemetry-algorithms-m-f-d-at-med-el-4417458886,False,False
linkedin,4365246629,Sensor & Measurement Technology Engineer,NDT Global,Stutensee,"Stutensee, Baden-Württemberg, Germany",,,,,,,,2026-05-30,,research engineer,,,,,,,https://de.linkedin.com/jobs/view/sensor-measurement-technology-engineer-at-ndt-global-4365246629,False,False
linkedin,4417200966,System Engineer (m/w/x),EV Group,Sankt Florian am Inn,"Sankt Florian am Inn, Upper Austria, Austria",,,,,,,,2026-05-27,,research engineer,,,,,,,https://at.linkedin.com/jobs/view/system-engineer-m-w-x-at-ev-group-4417200966,False,False
linkedin,4395472516,Senior HPC and AI Networking Performance Research and Analysis Engineer,NVIDIA,Berlin,"Berlin, Berlin, Germany",,,,,,,,2026-05-27,,research engineer,,,,,,,https://de.linkedin.com/jobs/view/senior-hpc-and-ai-networking-performance-research-and-analysis-engineer-at-nvidia-4395472516,False,False
linkedin,4395487261,Senior HPC and AI Networking Performance Research and Analysis Engineer,NVIDIA,Munich,"Munich, Bavaria, Germany",,,,,,,,2026-05-28,,research engineer,,,,,,,https://de.linkedin.com/jobs/view/senior-hpc-and-ai-networking-performance-research-and-analysis-engineer-at-nvidia-4395487261,False,False
linkedin,4417934605,Research Engineer (m/w/d)*,JAEGGI,Fürstenfeldbruck,"Fürstenfeldbruck, Bavaria, Germany",,,,,,,,2026-05-29,,research engineer,,,,,,,https://de.linkedin.com/jobs/view/research-engineer-m-w-d-at-jaeggi-4417934605,False,False
linkedin,4413098251,Research Engineer (Kineto),JetBrains,Amsterdam,"Amsterdam, North Holland, Netherlands",,,,,,,,2026-06-02,,research engineer,,,,,,,https://nl.linkedin.com/jobs/view/research-engineer-kineto-at-jetbrains-4413098251,False,False
